user_id,sleep_date,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,SleepEfficiency,activity_date,TotalSteps,TotalDistance,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,TotalActiveMinutes,ActiveMinutesShare,CaloriesPerStep,VeryActiveShare,UserMeanSleepEfficiency,SleepEfficiencyDeviation
1503960366,2016-04-12,1,327,346,0.9450867052023122,2016-04-11,13162,8.5,1985,25,13,328,728,366,0.33455210237659966,0.15081294636073544,0.06830601092896176,0.9363853096202286,0.008701395582083604
1503960366,2016-04-13,2,384,407,0.9434889434889436,2016-04-12,10735,6.96999979019165,1797,21,19,217,776,257,0.24878993223620524,0.16739636702375407,0.08171206225680934,0.9363853096202286,0.007103633868715042
1503960366,2016-04-15,1,412,442,0.9321266968325792,2016-04-14,9762,6.28000020980835,1745,29,34,209,726,272,0.2725450901803607,0.1787543536160623,0.10661764705882353,0.9363853096202286,-0.004258612787649385
1503960366,2016-04-16,2,340,367,0.9264305177111716,2016-04-15,12669,8.15999984741211,1863,36,10,221,773,267,0.2567307692307692,0.14705185886810324,0.1348314606741573,0.9363853096202286,-0.009954791909057015
1503960366,2016-04-17,1,700,712,0.9831460674157304,2016-04-16,9705,6.48000001907349,1728,38,20,164,539,222,0.29172141918528255,0.17805255023183925,0.17117117117117117,0.9363853096202286,0.04676075779550182
1503960366,2016-04-19,1,304,320,0.95,2016-04-18,15506,9.88000011444092,2035,50,31,264,775,345,0.3080357142857143,0.13123952018573457,0.14492753623188406,0.9363853096202286,0.013614690379771366
1503960366,2016-04-20,1,360,377,0.9549071618037136,2016-04-19,10544,6.67999982833862,1786,28,12,205,818,245,0.23047977422389465,0.16938543247344462,0.11428571428571428,0.9363853096202286,0.01852185218348501
1503960366,2016-04-21,1,325,364,0.8928571428571429,2016-04-20,9819,6.34000015258789,1775,19,8,211,838,238,0.2211895910780669,0.1807719727059782,0.07983193277310924,0.9363853096202286,-0.043528166763085685
1503960366,2016-04-23,1,361,384,0.9401041666666666,2016-04-22,14371,9.03999996185303,1949,41,21,262,732,324,0.3068181818181818,0.1356203465312087,0.12654320987654322,0.9363853096202286,0.00371885704643804
1503960366,2016-04-24,1,430,449,0.9576837416481068,2016-04-23,10039,6.40999984741211,1788,39,5,238,709,282,0.28456104944500504,0.17810538898296643,0.13829787234042554,0.9363853096202286,0.021298432027878178
1503960366,2016-04-25,1,277,323,0.8575851393188855,2016-04-24,15355,9.80000019073486,2013,73,14,216,814,303,0.2712623097582811,0.13109736242266362,0.24092409240924093,0.9363853096202286,-0.07880017030134312
1503960366,2016-04-26,1,245,274,0.8941605839416058,2016-04-25,13755,8.78999996185303,1970,31,23,279,833,333,0.2855917667238422,0.14322064703744092,0.09309309309309309,0.9363853096202286,-0.04222472567862279
1503960366,2016-04-28,1,366,393,0.931297709923664,2016-04-27,13154,8.52999973297119,1898,48,28,189,782,265,0.2531041069723018,0.14429071005017485,0.1811320754716981,0.9363853096202286,-0.005087599696564582
1503960366,2016-04-29,1,341,354,0.963276836158192,2016-04-28,11181,7.15000009536743,1837,16,12,243,815,271,0.24953959484346225,0.164296574546105,0.05904059040590406,0.9363853096202286,0.02689152653796345
1503960366,2016-04-30,1,404,425,0.9505882352941176,2016-04-29,14673,9.25,1947,52,34,217,712,303,0.29852216748768473,0.13269270087916582,0.1716171617161716,0.9363853096202286,0.014202925673889033
1503960366,2016-05-01,1,369,396,0.9318181818181818,2016-04-30,10602,6.80999994277954,1820,33,35,246,730,314,0.3007662835249042,0.17166572344840597,0.10509554140127389,0.9363853096202286,-0.004567127802046822
1503960366,2016-05-02,1,277,309,0.8964401294498382,2016-05-01,14727,9.71000003814697,2004,41,15,277,798,333,0.29442970822281167,0.1360765940110002,0.12312312312312312,0.9363853096202286,-0.03994518017039039
1503960366,2016-05-03,1,273,296,0.9222972972972971,2016-05-02,15103,9.65999984741211,1990,50,24,254,816,328,0.2867132867132867,0.13176190160895188,0.1524390243902439,0.9363853096202286,-0.014088012322931442
1503960366,2016-05-05,1,247,264,0.9356060606060606,2016-05-04,14070,8.89999961853027,1959,45,24,250,857,319,0.27125850340136054,0.13923240938166312,0.14106583072100312,0.9363853096202286,-0.0007792490141680375
1503960366,2016-05-06,1,334,367,0.9100817438692098,2016-05-05,12159,8.02999973297119,1896,24,6,289,754,319,0.2972972972972973,0.15593387614113002,0.07523510971786834,0.9363853096202286,-0.026303565751018776
1503960366,2016-05-07,1,331,349,0.9484240687679084,2016-05-06,11992,7.71000003814697,1821,37,46,175,833,258,0.23648029330889092,0.15185123415610408,0.1434108527131783,0.9363853096202286,0.012038759147679823
1503960366,2016-05-08,1,594,611,0.972176759410802,2016-05-07,10060,6.57999992370605,1740,44,8,203,574,255,0.30759951749095293,0.17296222664015903,0.17254901960784313,0.9363853096202286,0.03579144979057336
1503960366,2016-05-09,1,338,342,0.9883040935672516,2016-05-08,12022,7.71999979019165,1819,46,11,206,835,263,0.2395264116575592,0.15130593911162868,0.17490494296577946,0.9363853096202286,0.051918783947022984
1503960366,2016-05-10,1,383,403,0.9503722084367244,2016-05-09,12207,7.76999998092651,1859,46,31,214,746,291,0.2806171648987464,0.15228966986155484,0.15807560137457044,0.9363853096202286,0.01398689881649584
1503960366,2016-05-11,1,285,306,0.931372549019608,2016-05-10,12770,8.13000011444092,1783,36,23,251,669,310,0.3166496424923391,0.13962411902897415,0.11612903225806452,0.9363853096202286,-0.005012760600620614
